TI_label,TI_input,TI_input_percent,model,model_label,y_rel_m,y_over_D,inside_rotor,U_model_mps,TI_model,TI_model_percent,U_LES_mps,TI_LES,TI_LES_percent
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",192.0,0.8,False,7.282446234759984,0.0642,6.419999999999999,7.7120999999999995,0.08899166666666665,8.899166666666664
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",216.0,0.9,False,7.18144289181965,0.0642,6.419999999999999,7.672833333333334,0.08954166666666667,8.954166666666667
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",240.0,1.0,False,7.150603231362652,0.0642,6.419999999999999,7.6561375,0.08814583333333334,8.814583333333333
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",264.0,1.1,False,7.194757491824366,0.0642,6.419999999999999,7.682908333333333,0.08612916666666667,8.612916666666667
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",288.0,1.2,False,7.3047044494565725,0.0642,6.419999999999999,7.7153375,0.08383333333333333,8.383333333333333
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",312.0,1.3,False,7.457841157165424,0.0642,6.419999999999999,7.762645833333334,0.08387916666666667,8.387916666666667
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",336.0,1.4,False,7.62144701794451,0.0642,6.419999999999999,7.799054166666666,0.083925,8.3925
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",360.0,1.5,False,7.7599937328601944,0.0642,6.419999999999999,7.8517125,0.0846125,8.46125
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,-360.0,-1.5,False,8.584001809351504,0.12039500760774483,12.039500760774482,8.2632875,0.08397083333333333,8.397083333333333
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,-336.0,-1.4,False,8.633340132955565,0.12039500760774483,12.039500760774482,8.315266666666666,0.08191666666666667,8.191666666666666
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,-312.0,-1.3,False,8.671119495733967,0.12039500760774483,12.039500760774482,8.355883333333335,0.079275,7.9275
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,-288.0,-1.2,False,8.699951635727064,0.12039500760774483,12.039500760774482,8.3695875,0.07785,7.785
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,-264.0,-1.1,False,8.721890854269411,0.12039500760774483,12.039500760774482,8.3759625,0.07729166666666666,7.729166666666666
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,-240.0,-1.0,False,8.738329103624794,0.12039500760774483,12.039500760774482,8.375008333333334,0.077625,7.7625
7.0%,0.07036741444444444,7.036741444444444,BPA2014,BPA2014,-216.0,-0.9,False,8.750010171159154,0.12039500760774483,12.039500760774482,8.3722125,0.07754166666666668,7.754166666666667
