turbine_id,y_over_D,z_over_D,U_LES_mps,TI_LES_percent,inside_rotor_mask
T136,-0.7,1.4541666666666666,9.5681,8.42,False
T136,-0.6,1.4541666666666666,9.5683,8.18,False
T136,-0.5,1.4541666666666666,9.5592,8.25,False
T136,-0.4,1.4541666666666666,9.5469,8.309999999999999,False
T136,-0.3,1.4541666666666666,9.548,8.469999999999999,False
T136,-0.2,1.4541666666666666,9.5333,8.75,False
T136,-0.1,1.4541666666666666,9.5046,8.959999999999999,False
T136,0.0,1.4541666666666666,9.4652,9.22,False
T136,0.1,1.4541666666666666,9.4138,9.47,False
T136,0.2,1.4541666666666666,9.3782,9.47,False
T136,0.3,1.4541666666666666,9.3294,9.51,False
T136,0.4,1.4541666666666666,9.2753,9.69,False
T136,0.5,1.4541666666666666,9.2304,9.959999999999999,False
T136,0.6,1.4541666666666666,9.1863,10.31,False
T136,0.7,1.4541666666666666,9.161,10.4,False
T136,0.8,1.4541666666666666,9.147,10.51,False
T136,0.9,1.4541666666666666,9.1547,10.549999999999999,False
T136,1.0,1.4541666666666666,9.1613,10.51,False
T136,1.1,1.4541666666666666,9.1663,10.26,False
T136,1.2,1.4541666666666666,9.1815,9.879999999999999,False
T136,1.3,1.4541666666666666,9.2053,9.520000000000001,False
T136,1.4,1.4541666666666666,9.2103,9.34,False
T136,1.5,1.4541666666666666,9.2247,9.19,False
T136,-1.5,1.5541666666666667,9.7772,8.88,False
T136,-1.4,1.5541666666666667,9.7721,8.83,False
T136,-1.3,1.5541666666666667,9.7647,8.77,False
T136,-1.2,1.5541666666666667,9.7589,8.76,False
T136,-1.1,1.5541666666666667,9.7561,8.799999999999999,False
T136,-1.0,1.5541666666666667,9.7532,8.7,False
T136,-0.9,1.5541666666666667,9.7323,8.6,False
T136,-0.8,1.5541666666666667,9.7208,8.55,False
T136,-0.7,1.5541666666666667,9.7153,8.42,False
T136,-0.6,1.5541666666666667,9.7155,8.17,False
T136,-0.5,1.5541666666666667,9.7062,8.18,False
T136,-0.4,1.5541666666666667,9.6997,8.25,False
T136,-0.3,1.5541666666666667,9.6979,8.36,False
T136,-0.2,1.5541666666666667,9.6903,8.58,False
T136,-0.1,1.5541666666666667,9.6641,8.870000000000001,False
T136,0.0,1.5541666666666667,9.6262,9.1,False
T136,0.1,1.5541666666666667,9.5836,9.26,False
T136,0.2,1.5541666666666667,9.5518,9.26,False
T136,0.3,1.5541666666666667,9.512,9.45,False
T136,0.4,1.5541666666666667,9.4593,9.629999999999999,False
T136,0.5,1.5541666666666667,9.4026,9.86,False
T136,0.6,1.5541666666666667,9.3578,10.23,False
T136,0.7,1.5541666666666667,9.3381,10.45,False
T136,0.8,1.5541666666666667,9.3339,10.620000000000001,False
T136,0.9,1.5541666666666667,9.335,10.57,False
T136,1.0,1.5541666666666667,9.3332,10.440000000000001,False
T136,1.1,1.5541666666666667,9.3471,10.25,False
T136,1.2,1.5541666666666667,9.3597,9.99,False
T136,1.3,1.5541666666666667,9.3828,9.69,False
T136,1.4,1.5541666666666667,9.3931,9.46,False
T136,1.5,1.5541666666666667,9.3988,9.17,False
T136,-1.5,1.6541666666666666,9.9426,8.62,False
T136,-1.4,1.6541666666666666,9.9351,8.72,False
T136,-1.3,1.6541666666666666,9.9191,8.84,False
T136,-1.2,1.6541666666666666,9.9091,8.82,False
T136,-1.1,1.6541666666666666,9.9036,8.780000000000001,False
T136,-1.0,1.6541666666666666,9.8971,8.67,False
T136,-0.9,1.6541666666666666,9.8754,8.51,False
T136,-0.8,1.6541666666666666,9.8688,8.39,False
T136,-0.7,1.6541666666666666,9.8691,8.25,False
T136,-0.6,1.6541666666666666,9.8714,8.03,False
T136,-0.5,1.6541666666666666,9.8617,8.07,False
T136,-0.4,1.6541666666666666,9.8495,8.19,False
T136,-0.3,1.6541666666666666,9.8477,8.24,False
T136,-0.2,1.6541666666666666,9.8456,8.36,False
T136,-0.1,1.6541666666666666,9.8215,8.58,False
T136,0.0,1.6541666666666666,9.7923,8.9,False
T136,0.1,1.6541666666666666,9.764,9.0,False
T136,0.2,1.6541666666666666,9.7271,9.08,False
T136,0.3,1.6541666666666666,9.6838,9.28,False
T136,0.4,1.6541666666666666,9.6368,9.32,False
